epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.409,1.90938,1.22984,1.42511,0.83878,0.7842,0.80751,0.28839,2.02754,1.31428,1.48238,0.0011882,0.0011882,0.0011882
43,126.854,1.87435,1.24631,1.42823,0.83878,0.7842,0.80751,0.28839,2.02754,1.31428,1.48238,0.0011684,0.0011684,0.0011684
44,131.898,1.81992,1.22362,1.41452,0.77576,0.75206,0.77788,0.27483,2.09076,1.35972,1.5212,0.0011486,0.0011486,0.0011486
45,134.632,1.95996,1.28308,1.38944,0.77576,0.75206,0.77788,0.27483,2.09076,1.35972,1.5212,0.0011288,0.0011288,0.0011288
46,137.495,1.82816,1.22771,1.40347,0.77576,0.75206,0.77788,0.27483,2.09076,1.35972,1.5212,0.001109,0.001109,0.001109
47,142.692,1.86599,1.21352,1.35159,0.80807,0.8058,0.83621,0.33202,1.99115,1.26647,1.46051,0.0010892,0.0010892,0.0010892
48,145.547,1.84349,1.22883,1.34707,0.80807,0.8058,0.83621,0.33202,1.99115,1.26647,1.46051,0.0010694,0.0010694,0.0010694
49,150.798,1.80675,1.19317,1.36113,0.81157,0.84928,0.86075,0.3553,1.97727,1.21434,1.46188,0.0010496,0.0010496,0.0010496
50,153.36,1.89147,1.21636,1.40572,0.81157,0.84928,0.86075,0.3553,1.97727,1.21434,1.46188,0.0010298,0.0010298,0.0010298
51,156.919,1.89084,1.19608,1.3928,0.81157,0.84928,0.86075,0.3553,1.97727,1.21434,1.46188,0.00101,0.00101,0.00101
52,161.901,1.92984,1.24548,1.40142,0.81423,0.82581,0.84627,0.30862,2.04942,1.27403,1.50139,0.0009902,0.0009902,0.0009902
53,164.576,1.88295,1.19923,1.38228,0.81423,0.82581,0.84627,0.30862,2.04942,1.27403,1.50139,0.0009704,0.0009704,0.0009704
54,167.255,1.93627,1.22758,1.38673,0.81423,0.82581,0.84627,0.30862,2.04942,1.27403,1.50139,0.0009506,0.0009506,0.0009506
55,171.508,1.83163,1.16265,1.38421,0.82232,0.85217,0.85725,0.32883,1.94366,1.24591,1.44225,0.0009308,0.0009308,0.0009308
56,173.76,1.86251,1.20928,1.36121,0.82232,0.85217,0.85725,0.32883,1.94366,1.24591,1.44225,0.000911,0.000911,0.000911
57,178.621,1.73711,1.1745,1.33247,0.88676,0.86251,0.90454,0.38721,1.81274,1.14927,1.37428,0.0008912,0.0008912,0.0008912
58,180.728,1.78849,1.14835,1.33746,0.88676,0.86251,0.90454,0.38721,1.81274,1.14927,1.37428,0.0008714,0.0008714,0.0008714
59,183.511,1.80073,1.19395,1.37434,0.88676,0.86251,0.90454,0.38721,1.81274,1.14927,1.37428,0.0008516,0.0008516,0.0008516
60,189.729,1.8201,1.17835,1.3312,0.90356,0.86903,0.91738,0.40019,1.83883,1.13371,1.37467,0.0008318,0.0008318,0.0008318
61,192.095,1.80439,1.11737,1.31539,0.90356,0.86903,0.91738,0.40019,1.83883,1.13371,1.37467,0.000812,0.000812,0.000812
62,194.596,1.79049,1.13101,1.31904,0.90356,0.86903,0.91738,0.40019,1.83883,1.13371,1.37467,0.0007922,0.0007922,0.0007922
63,199.527,1.84801,1.12421,1.36803,0.87257,0.89315,0.92685,0.39114,1.88209,1.13083,1.4028,0.0007724,0.0007724,0.0007724
64,201.998,1.85336,1.12295,1.36044,0.87257,0.89315,0.92685,0.39114,1.88209,1.13083,1.4028,0.0007526,0.0007526,0.0007526
65,206.885,1.81981,1.12416,1.36594,0.89242,0.86377,0.91648,0.39528,1.83528,1.12813,1.3719,0.0007328,0.0007328,0.0007328
66,209.267,1.77905,1.1253,1.37245,0.89242,0.86377,0.91648,0.39528,1.83528,1.12813,1.3719,0.000713,0.000713,0.000713
