epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3631.99,1.24531,0.79926,1.21435,0.87732,0.59607,0.70595,0.49309,1.11409,0.8229,1.1387,0.0011882,0.0011882,0.0011882
43,3751.88,1.28083,0.83224,1.22766,0.83307,0.57596,0.6751,0.46606,1.11832,0.76716,1.14469,0.0011684,0.0011684,0.0011684
44,3866.12,1.24979,0.8005,1.21656,0.80821,0.52131,0.59525,0.39053,1.18895,0.80897,1.17286,0.0011486,0.0011486,0.0011486
45,3977.65,1.25672,0.80713,1.21781,0.86911,0.57246,0.68723,0.46175,1.16657,0.83191,1.15679,0.0011288,0.0011288,0.0011288
46,4083.17,1.29094,0.82598,1.23115,0.87343,0.64525,0.76179,0.50349,1.18942,0.8138,1.17067,0.001109,0.001109,0.001109
47,4222.25,1.27107,0.82715,1.21577,0.87906,0.61902,0.76231,0.4887,1.26816,0.89287,1.21043,0.0010892,0.0010892,0.0010892
48,4344.22,1.2676,0.82101,1.22443,0.76932,0.56787,0.65639,0.40915,1.28368,0.88938,1.21862,0.0010694,0.0010694,0.0010694
49,4444.32,1.26154,0.80652,1.20916,0.85312,0.61311,0.735,0.49002,1.23318,0.89274,1.19477,0.0010496,0.0010496,0.0010496
50,4551.47,1.26416,0.79412,1.21385,0.81853,0.55902,0.66244,0.45532,1.10537,0.78836,1.14393,0.0010298,0.0010298,0.0010298
51,4681.2,1.25124,0.79819,1.21541,0.85504,0.58017,0.68585,0.44479,1.26472,0.78729,1.20247,0.00101,0.00101,0.00101
52,4794.09,1.22881,0.78795,1.20653,0.87416,0.68,0.82685,0.56072,1.12596,0.77001,1.15401,0.0009902,0.0009902,0.0009902
53,4917.58,1.23874,0.79775,1.20332,0.88779,0.64852,0.7902,0.54441,1.11312,0.77924,1.14509,0.0009704,0.0009704,0.0009704
54,5032.68,1.21955,0.78215,1.19958,0.8554,0.65115,0.78771,0.53597,1.15841,0.80857,1.16593,0.0009506,0.0009506,0.0009506
55,5167.52,1.213,0.76282,1.17591,0.85656,0.67803,0.80624,0.55975,1.09582,0.76007,1.13303,0.0009308,0.0009308,0.0009308
56,5274.46,1.24167,0.76915,1.20651,0.87819,0.68549,0.82976,0.57635,1.09955,0.77098,1.13119,0.000911,0.000911,0.000911
